Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.482578	0.452650	87.333336	79.750000	
0.100000	0.350702	0.408643	83.666672	78.250000	
0.100000	0.303807	0.402363	85.166672	80.750000	
0.100000	0.278144	0.365851	87.333336	82.500000	
0.100000	0.257147	0.345734	88.333336	82.750000	
0.100000	0.244964	0.334378	88.500000	82.750000	
0.100000	0.240605	0.333038	88.833336	82.750000	
0.100000	0.233847	0.335376	89.000000	82.750000	
0.100000	0.230148	0.329239	89.500000	83.500000	
0.100000	0.225484	0.322377	90.333336	84.000000	
0.100000	0.222271	0.319917	90.333336	84.500000	
0.100000	0.216759	0.305748	91.833336	86.000000	
0.100000	0.210352	0.294110	92.166672	86.750000	
0.100000	0.203211	0.287354	93.333336	87.250000	
0.100000	0.196425	0.275981	93.333336	87.500000	
0.100000	0.188839	0.265736	93.500000	88.750000	
0.100000	0.183130	0.251655	93.833336	89.000000	
0.100000	0.175365	0.239685	94.500000	90.500000	
0.100000	0.169735	0.228805	94.500000	90.250000	
0.100000	0.163209	0.218201	95.000000	91.000000	
0.010000	0.155184	0.217049	94.833336	91.000000	
0.010000	0.154506	0.215821	94.833336	91.000000	
0.010000	0.153803	0.214488	94.833336	91.000000	
0.010000	0.153044	0.213158	94.833336	91.000000	
0.010000	0.152447	0.211972	94.833336	91.000000	
0.010000	0.151860	0.210857	94.833336	91.000000	
0.010000	0.151194	0.209826	94.833336	91.000000	
0.010000	0.150586	0.208891	94.833336	91.000000	
0.010000	0.150034	0.207988	94.833336	91.000000	
0.010000	0.149476	0.207051	94.833336	91.000000	
0.010000	0.148834	0.206146	94.833336	91.250000	
0.010000	0.148208	0.205263	94.833336	91.250000	
0.010000	0.147655	0.204426	94.833336	91.250000	
0.010000	0.147163	0.203480	95.000000	91.250000	
0.010000	0.146643	0.202380	95.000000	91.250000	
0.010000	0.145945	0.201367	95.000000	91.250000	
0.010000	0.145369	0.200500	95.333336	91.500000	
0.010000	0.144915	0.199586	95.333336	91.500000	
0.010000	0.144381	0.198643	95.333336	91.250000	
0.010000	0.143797	0.197693	95.333336	91.500000	
0.001000	0.143198	0.197598	95.333336	91.500000	
0.001000	0.143146	0.197502	95.333336	91.500000	
0.001000	0.143093	0.197406	95.333336	91.500000	
0.001000	0.143039	0.197309	95.333336	91.500000	
0.001000	0.142984	0.197213	95.333336	91.500000	
0.001000	0.142929	0.197117	95.333336	91.500000	
0.001000	0.142875	0.197022	95.333336	91.500000	
0.001000	0.142819	0.196929	95.333336	91.500000	
0.001000	0.142766	0.196838	95.333336	91.500000	
0.001000	0.142713	0.196746	95.333336	91.500000	
0.001000	0.142662	0.196653	95.333336	91.500000	
0.001000	0.142609	0.196561	95.333336	91.500000	
0.001000	0.142557	0.196468	95.333336	91.500000	
0.001000	0.142505	0.196373	95.333336	91.500000	
0.001000	0.142452	0.196278	95.333336	91.500000	
0.001000	0.142400	0.196182	95.333336	91.500000	
0.001000	0.142346	0.196090	95.333336	91.500000	
0.001000	0.142293	0.196000	95.333336	91.500000	
0.001000	0.142241	0.195911	95.333336	91.500000	
0.001000	0.142188	0.195824	95.333336	91.500000	
